		x-cp20936、简体中文(GB2312-80)  编码字符对照表
八进制	十进制	16进制	字符	说明
120746	41446	A1E6	℃	
120747	41447	A1E7	＄	
120750	41448	A1E8	¤	
120751	41449	A1E9	￠	
120752	41450	A1EA	￡	
120753	41451	A1EB	‰	
120754	41452	A1EC	§	
120755	41453	A1ED	№	
120756	41454	A1EE	☆	
120757	41455	A1EF	★	
120760	41456	A1F0	○	
120761	41457	A1F1	●	
120762	41458	A1F2	◎	
120763	41459	A1F3	◇	
120764	41460	A1F4	◆	
120765	41461	A1F5	□	
120766	41462	A1F6	■	
120767	41463	A1F7	△	
120770	41464	A1F8	▲	
120771	41465	A1F9	※	
120772	41466	A1FA	→	
120773	41467	A1FB	←	
120774	41468	A1FC	↑	
120775	41469	A1FD	↓	
120776	41470	A1FE	〓	
121261	41649	A2B1	⒈	
121262	41650	A2B2	⒉	
121263	41651	A2B3	⒊	
121264	41652	A2B4	⒋	
121265	41653	A2B5	⒌	
121266	41654	A2B6	⒍	
121267	41655	A2B7	⒎	
121270	41656	A2B8	⒏	
121271	41657	A2B9	⒐	
121272	41658	A2BA	⒑	
121273	41659	A2BB	⒒	
121274	41660	A2BC	⒓	
121275	41661	A2BD	⒔	
121276	41662	A2BE	⒕	
121277	41663	A2BF	⒖	
121300	41664	A2C0	⒗	
121301	41665	A2C1	⒘	
121302	41666	A2C2	⒙	
121303	41667	A2C3	⒚	
121304	41668	A2C4	⒛	
121305	41669	A2C5	⑴	
121306	41670	A2C6	⑵	
121307	41671	A2C7	⑶	
121310	41672	A2C8	⑷	
121311	41673	A2C9	⑸	
121312	41674	A2CA	⑹	
121313	41675	A2CB	⑺	
121314	41676	A2CC	⑻	
121315	41677	A2CD	⑼	
121316	41678	A2CE	⑽	
121317	41679	A2CF	⑾	
121320	41680	A2D0	⑿	
121321	41681	A2D1	⒀	
121322	41682	A2D2	⒁	
121323	41683	A2D3	⒂	
121324	41684	A2D4	⒃	
121325	41685	A2D5	⒄	
121326	41686	A2D6	⒅	
121327	41687	A2D7	⒆	
121330	41688	A2D8	⒇	
121331	41689	A2D9	①	
121332	41690	A2DA	②	
121333	41691	A2DB	③	
121334	41692	A2DC	④	
121335	41693	A2DD	⑤	
121336	41694	A2DE	⑥	
121337	41695	A2DF	⑦	
121340	41696	A2E0	⑧	
121341	41697	A2E1	⑨	
121342	41698	A2E2	⑩	
121345	41701	A2E5	㈠	
121346	41702	A2E6	㈡	
121347	41703	A2E7	㈢	
121350	41704	A2E8	㈣	
121351	41705	A2E9	㈤	
121352	41706	A2EA	㈥	
121353	41707	A2EB	㈦	
121354	41708	A2EC	㈧	
121355	41709	A2ED	㈨	
121356	41710	A2EE	㈩	
121361	41713	A2F1	Ⅰ	
121362	41714	A2F2	Ⅱ	
121363	41715	A2F3	Ⅲ	
121364	41716	A2F4	Ⅳ	
121365	41717	A2F5	Ⅴ	
121366	41718	A2F6	Ⅵ	
121367	41719	A2F7	Ⅶ	
121370	41720	A2F8	Ⅷ	
121371	41721	A2F9	Ⅸ	
121372	41722	A2FA	Ⅹ	
121373	41723	A2FB	Ⅺ	
121374	41724	A2FC	Ⅻ	
121641	41889	A3A1	！	
121642	41890	A3A2	＂	
121643	41891	A3A3	＃	
121644	41892	A3A4	￥	
121645	41893	A3A5	％	
121646	41894	A3A6	＆	
121647	41895	A3A7	＇	
121650	41896	A3A8	（	
121651	41897	A3A9	）	
121652	41898	A3AA	＊	
121653	41899	A3AB	＋	
121654	41900	A3AC	，	
121655	41901	A3AD	－	
121656	41902	A3AE	．	
121657	41903	A3AF	／	
121660	41904	A3B0	０	
121661	41905	A3B1	１	
121662	41906	A3B2	２	
121663	41907	A3B3	３	
121664	41908	A3B4	４	
121665	41909	A3B5	５	
121666	41910	A3B6	６	
121667	41911	A3B7	７	
121670	41912	A3B8	８	
121671	41913	A3B9	９	
121672	41914	A3BA	：	
121673	41915	A3BB	；	
121674	41916	A3BC	＜	
121675	41917	A3BD	＝	
121676	41918	A3BE	＞	
121677	41919	A3BF	？	
121700	41920	A3C0	＠	
121701	41921	A3C1	Ａ	
121702	41922	A3C2	Ｂ	
121703	41923	A3C3	Ｃ	
121704	41924	A3C4	Ｄ	
121705	41925	A3C5	Ｅ	
121706	41926	A3C6	Ｆ	
121707	41927	A3C7	Ｇ	
121710	41928	A3C8	Ｈ	
121711	41929	A3C9	Ｉ	
121712	41930	A3CA	Ｊ	
121713	41931	A3CB	Ｋ	
121714	41932	A3CC	Ｌ	
121715	41933	A3CD	Ｍ	
121716	41934	A3CE	Ｎ	
121717	41935	A3CF	Ｏ	
121720	41936	A3D0	Ｐ	
121721	41937	A3D1	Ｑ	
121722	41938	A3D2	Ｒ	
121723	41939	A3D3	Ｓ	
121724	41940	A3D4	Ｔ	
121725	41941	A3D5	Ｕ	
121726	41942	A3D6	Ｖ	
121727	41943	A3D7	Ｗ	
121730	41944	A3D8	Ｘ	
121731	41945	A3D9	Ｙ	
121732	41946	A3DA	Ｚ	
121733	41947	A3DB	［	
121734	41948	A3DC	＼	
121735	41949	A3DD	］	
121736	41950	A3DE	＾	
121737	41951	A3DF	＿	
121740	41952	A3E0	｀	
121741	41953	A3E1	ａ	
121742	41954	A3E2	ｂ	
121743	41955	A3E3	ｃ	
121744	41956	A3E4	ｄ	
121745	41957	A3E5	ｅ	
121746	41958	A3E6	ｆ	
121747	41959	A3E7	ｇ	
121750	41960	A3E8	ｈ	
121751	41961	A3E9	ｉ	
121752	41962	A3EA	ｊ	
121753	41963	A3EB	ｋ	
121754	41964	A3EC	ｌ	
121755	41965	A3ED	ｍ	
121756	41966	A3EE	ｎ	
121757	41967	A3EF	ｏ	
121760	41968	A3F0	ｐ	
121761	41969	A3F1	ｑ	
121762	41970	A3F2	ｒ	
121763	41971	A3F3	ｓ	
121764	41972	A3F4	ｔ	
121765	41973	A3F5	ｕ	
121766	41974	A3F6	ｖ	
121767	41975	A3F7	ｗ	
121770	41976	A3F8	ｘ	
121771	41977	A3F9	ｙ	
121772	41978	A3FA	ｚ	
121773	41979	A3FB	｛	
121774	41980	A3FC	｜	
121775	41981	A3FD	｝	
121776	41982	A3FE	￣	
122241	42145	A4A1	ぁ	
122242	42146	A4A2	あ	
122243	42147	A4A3	ぃ	
122244	42148	A4A4	い	
122245	42149	A4A5	ぅ	
122246	42150	A4A6	う	
122247	42151	A4A7	ぇ	
122250	42152	A4A8	え	
122251	42153	A4A9	ぉ	
122252	42154	A4AA	お	
122253	42155	A4AB	か	
122254	42156	A4AC	が	
122255	42157	A4AD	き	
122256	42158	A4AE	ぎ	
122257	42159	A4AF	く	
122260	42160	A4B0	ぐ	
122261	42161	A4B1	け	
122262	42162	A4B2	げ	
122263	42163	A4B3	こ	
122264	42164	A4B4	ご	
122265	42165	A4B5	さ	
122266	42166	A4B6	ざ	
122267	42167	A4B7	し	
122270	42168	A4B8	じ	
122271	42169	A4B9	す	
122272	42170	A4BA	ず	
122273	42171	A4BB	せ	
122274	42172	A4BC	ぜ	
122275	42173	A4BD	そ	
122276	42174	A4BE	ぞ	
122277	42175	A4BF	た	
122300	42176	A4C0	だ	
122301	42177	A4C1	ち	
122302	42178	A4C2	ぢ	
122303	42179	A4C3	っ	
122304	42180	A4C4	つ	
122305	42181	A4C5	づ	
122306	42182	A4C6	て	
122307	42183	A4C7	で	
122310	42184	A4C8	と	
122311	42185	A4C9	ど	
122312	42186	A4CA	な	
122313	42187	A4CB	に	
122314	42188	A4CC	ぬ	
122315	42189	A4CD	ね	
122316	42190	A4CE	の	
122317	42191	A4CF	は	
122320	42192	A4D0	ば	
122321	42193	A4D1	ぱ	
122322	42194	A4D2	ひ	
122323	42195	A4D3	び	
122324	42196	A4D4	ぴ	
122325	42197	A4D5	ふ	
122326	42198	A4D6	ぶ	
122327	42199	A4D7	ぷ	
122330	42200	A4D8	へ	
122331	42201	A4D9	べ	
122332	42202	A4DA	ぺ	
122333	42203	A4DB	ほ	
122334	42204	A4DC	ぼ	
122335	42205	A4DD	ぽ	
122336	42206	A4DE	ま	
122337	42207	A4DF	み	
122340	42208	A4E0	む	
122341	42209	A4E1	め	
122342	42210	A4E2	も	
122343	42211	A4E3	ゃ	
122344	42212	A4E4	や	
122345	42213	A4E5	ゅ	
122346	42214	A4E6	ゆ	
122347	42215	A4E7	ょ	
122350	42216	A4E8	よ	
122351	42217	A4E9	ら	
122352	42218	A4EA	り	
122353	42219	A4EB	る	
122354	42220	A4EC	れ	
122355	42221	A4ED	ろ	
122356	42222	A4EE	ゎ	
122357	42223	A4EF	わ	
122360	42224	A4F0	ゐ	
122361	42225	A4F1	ゑ	
122362	42226	A4F2	を	
122363	42227	A4F3	ん	
122641	42401	A5A1	ァ	
122642	42402	A5A2	ア	
122643	42403	A5A3	ィ	
122644	42404	A5A4	イ	
122645	42405	A5A5	ゥ	
122646	42406	A5A6	ウ	
122647	42407	A5A7	ェ	
122650	42408	A5A8	エ	
122651	42409	A5A9	ォ	
122652	42410	A5AA	オ	
122653	42411	A5AB	カ	
122654	42412	A5AC	ガ	
122655	42413	A5AD	キ	
122656	42414	A5AE	ギ	
122657	42415	A5AF	ク	
122660	42416	A5B0	グ	
122661	42417	A5B1	ケ	
122662	42418	A5B2	ゲ	
122663	42419	A5B3	コ	
122664	42420	A5B4	ゴ	
122665	42421	A5B5	サ	
122666	42422	A5B6	ザ	
122667	42423	A5B7	シ	
122670	42424	A5B8	ジ	
122671	42425	A5B9	ス	
122672	42426	A5BA	ズ	
122673	42427	A5BB	セ	
122674	42428	A5BC	ゼ	
122675	42429	A5BD	ソ	
122676	42430	A5BE	ゾ	
122677	42431	A5BF	タ	
122700	42432	A5C0	ダ	
122701	42433	A5C1	チ	
122702	42434	A5C2	ヂ	
122703	42435	A5C3	ッ	
122704	42436	A5C4	ツ	
122705	42437	A5C5	ヅ	
122706	42438	A5C6	テ	
122707	42439	A5C7	デ	
122710	42440	A5C8	ト	
122711	42441	A5C9	ド	
122712	42442	A5CA	ナ	
122713	42443	A5CB	ニ	
122714	42444	A5CC	ヌ	
122715	42445	A5CD	ネ	
122716	42446	A5CE	ノ	
122717	42447	A5CF	ハ	
122720	42448	A5D0	バ	
122721	42449	A5D1	パ	
122722	42450	A5D2	ヒ	
122723	42451	A5D3	ビ	
122724	42452	A5D4	ピ	
122725	42453	A5D5	フ	
122726	42454	A5D6	ブ	
122727	42455	A5D7	プ	
122730	42456	A5D8	ヘ	
122731	42457	A5D9	ベ	
122732	42458	A5DA	ペ	
122733	42459	A5DB	ホ	
122734	42460	A5DC	ボ	
122735	42461	A5DD	ポ	
122736	42462	A5DE	マ	
122737	42463	A5DF	ミ	
122740	42464	A5E0	ム	
122741	42465	A5E1	メ	
122742	42466	A5E2	モ	
122743	42467	A5E3	ャ	
122744	42468	A5E4	ヤ	
122745	42469	A5E5	ュ	
122746	42470	A5E6	ユ	
122747	42471	A5E7	ョ	
122750	42472	A5E8	ヨ	
122751	42473	A5E9	ラ	
122752	42474	A5EA	リ	
122753	42475	A5EB	ル	
122754	42476	A5EC	レ	
122755	42477	A5ED	ロ	
122756	42478	A5EE	ヮ	
122757	42479	A5EF	ワ	
122760	42480	A5F0	ヰ	
122761	42481	A5F1	ヱ	
122762	42482	A5F2	ヲ	
122763	42483	A5F3	ン	
122764	42484	A5F4	ヴ	
122765	42485	A5F5	ヵ	
122766	42486	A5F6	ヶ	
123241	42657	A6A1	Α	
123242	42658	A6A2	Β	
123243	42659	A6A3	Γ	
123244	42660	A6A4	Δ	
123245	42661	A6A5	Ε	
123246	42662	A6A6	Ζ	
123247	42663	A6A7	Η	
123250	42664	A6A8	Θ	
123251	42665	A6A9	Ι	
123252	42666	A6AA	Κ	
123253	42667	A6AB	Λ	
123254	42668	A6AC	Μ	
123255	42669	A6AD	Ν	
123256	42670	A6AE	Ξ	
123257	42671	A6AF	Ο	
123260	42672	A6B0	Π	
123261	42673	A6B1	Ρ	
123262	42674	A6B2	Σ	
123263	42675	A6B3	Τ	
123264	42676	A6B4	Υ	
123265	42677	A6B5	Φ	
123266	42678	A6B6	Χ	
123267	42679	A6B7	Ψ	
123270	42680	A6B8	Ω	
123301	42689	A6C1	α	
123302	42690	A6C2	β	
123303	42691	A6C3	γ	
123304	42692	A6C4	δ	
123305	42693	A6C5	ε	
123306	42694	A6C6	ζ	
123307	42695	A6C7	η	
123310	42696	A6C8	θ	
123311	42697	A6C9	ι	
123312	42698	A6CA	κ	
123313	42699	A6CB	λ	
123314	42700	A6CC	μ	
123315	42701	A6CD	ν	
123316	42702	A6CE	ξ	
123317	42703	A6CF	ο	
123320	42704	A6D0	π	
123321	42705	A6D1	ρ	
123322	42706	A6D2	σ	
123323	42707	A6D3	τ	
123324	42708	A6D4	υ	
123325	42709	A6D5	φ	
123326	42710	A6D6	χ	
123327	42711	A6D7	ψ	
123330	42712	A6D8	ω	
123641	42913	A7A1	А	
123642	42914	A7A2	Б	
123643	42915	A7A3	В	
123644	42916	A7A4	Г	
123645	42917	A7A5	Д	
123646	42918	A7A6	Е	
123647	42919	A7A7	Ё	
123650	42920	A7A8	Ж	
123651	42921	A7A9	З	
123652	42922	A7AA	И	
123653	42923	A7AB	Й	
123654	42924	A7AC	К	
123655	42925	A7AD	Л	
123656	42926	A7AE	М	
123657	42927	A7AF	Н	
123660	42928	A7B0	О	
123661	42929	A7B1	П	
123662	42930	A7B2	Р	
123663	42931	A7B3	С	
123664	42932	A7B4	Т	
123665	42933	A7B5	У	
123666	42934	A7B6	Ф	
123667	42935	A7B7	Х	
123670	42936	A7B8	Ц	
123671	42937	A7B9	Ч	
123672	42938	A7BA	Ш	
123673	42939	A7BB	Щ	
123674	42940	A7BC	Ъ	
123675	42941	A7BD	Ы	
123676	42942	A7BE	Ь	
123677	42943	A7BF	Э	
123700	42944	A7C0	Ю	
123701	42945	A7C1	Я	
123721	42961	A7D1	а	
123722	42962	A7D2	б	
123723	42963	A7D3	в	
123724	42964	A7D4	г	
123725	42965	A7D5	д	
123726	42966	A7D6	е	
123727	42967	A7D7	ё	
123730	42968	A7D8	ж	
123731	42969	A7D9	з	
123732	42970	A7DA	и	
123733	42971	A7DB	й	
123734	42972	A7DC	к	
123735	42973	A7DD	л	
123736	42974	A7DE	м	
123737	42975	A7DF	н	
123740	42976	A7E0	о	
123741	42977	A7E1	п	
123742	42978	A7E2	р	
123743	42979	A7E3	с	
123744	42980	A7E4	т	
123745	42981	A7E5	у	
123746	42982	A7E6	ф	
123747	42983	A7E7	х	
123750	42984	A7E8	ц	
123751	42985	A7E9	ч	
123752	42986	A7EA	ш	
123753	42987	A7EB	щ	
123754	42988	A7EC	ъ	
123755	42989	A7ED	ы	
123756	42990	A7EE	ь	
123757	42991	A7EF	э	
123760	42992	A7F0	ю	
123761	42993	A7F1	я	
124241	43169	A8A1	ā	
124242	43170	A8A2	á	
124243	43171	A8A3	ǎ	
124244	43172	A8A4	à	
124245	43173	A8A5	ē	
124246	43174	A8A6	é	
124247	43175	A8A7	ě	
124250	43176	A8A8	è	
124251	43177	A8A9	ī	
124252	43178	A8AA	í	
124253	43179	A8AB	ǐ	
124254	43180	A8AC	ì	
124255	43181	A8AD	ō	
124256	43182	A8AE	ó	
124257	43183	A8AF	ǒ	
124260	43184	A8B0	ò	
124261	43185	A8B1	ū	
124262	43186	A8B2	ú	
124263	43187	A8B3	ǔ	
124264	43188	A8B4	ù	
124265	43189	A8B5	ǖ	
124266	43190	A8B6	ǘ	
124267	43191	A8B7	ǚ	
124270	43192	A8B8	ǜ	
124271	43193	A8B9	ü	
124272	43194	A8BA	ê	
124305	43205	A8C5	ㄅ	
124306	43206	A8C6	ㄆ	
124307	43207	A8C7	ㄇ	
124310	43208	A8C8	ㄈ	
124311	43209	A8C9	ㄉ	
124312	43210	A8CA	ㄊ	
124313	43211	A8CB	ㄋ	
124314	43212	A8CC	ㄌ	
124315	43213	A8CD	ㄍ	
124316	43214	A8CE	ㄎ	
124317	43215	A8CF	ㄏ	
124320	43216	A8D0	ㄐ	
124321	43217	A8D1	ㄑ	
124322	43218	A8D2	ㄒ	
124323	43219	A8D3	ㄓ	
124324	43220	A8D4	ㄔ	
124325	43221	A8D5	ㄕ	
124326	43222	A8D6	ㄖ	
124327	43223	A8D7	ㄗ	
124330	43224	A8D8	ㄘ	
124331	43225	A8D9	ㄙ	
124332	43226	A8DA	ㄚ	
124333	43227	A8DB	ㄛ	
124334	43228	A8DC	ㄜ	
124335	43229	A8DD	ㄝ	
124336	43230	A8DE	ㄞ	
124337	43231	A8DF	ㄟ	
124340	43232	A8E0	ㄠ	
124341	43233	A8E1	ㄡ	
124342	43234	A8E2	ㄢ	
124343	43235	A8E3	ㄣ	
124344	43236	A8E4	ㄤ	
124345	43237	A8E5	ㄥ	
124346	43238	A8E6	ㄦ	
124347	43239	A8E7	ㄧ	
124350	43240	A8E8	ㄨ	
124351	43241	A8E9	ㄩ	
124644	43428	A9A4	─	
124645	43429	A9A5	━	
124646	43430	A9A6	│	
124647	43431	A9A7	┃	
124650	43432	A9A8	┄	
124651	43433	A9A9	┅	
124652	43434	A9AA	┆	
124653	43435	A9AB	┇	
124654	43436	A9AC	┈	
124655	43437	A9AD	┉	
124656	43438	A9AE	┊	
124657	43439	A9AF	┋	
124660	43440	A9B0	┌	
124661	43441	A9B1	┍	
124662	43442	A9B2	┎	
124663	43443	A9B3	┏	
124664	43444	A9B4	┐	
124665	43445	A9B5	┑	
124666	43446	A9B6	┒	
124667	43447	A9B7	┓	
124670	43448	A9B8	└	
124671	43449	A9B9	┕	
124672	43450	A9BA	┖	
124673	43451	A9BB	┗	
124674	43452	A9BC	┘	
124675	43453	A9BD	┙	
124676	43454	A9BE	┚	
124677	43455	A9BF	┛	
124700	43456	A9C0	├	
124701	43457	A9C1	┝	
124702	43458	A9C2	┞	
124703	43459	A9C3	┟	
124704	43460	A9C4	┠	
124705	43461	A9C5	┡	
124706	43462	A9C6	┢	
124707	43463	A9C7	┣	
124710	43464	A9C8	┤	
124711	43465	A9C9	┥	
124712	43466	A9CA	┦	
124713	43467	A9CB	┧	
124714	43468	A9CC	┨	
124715	43469	A9CD	┩	
124716	43470	A9CE	┪	
124717	43471	A9CF	┫	
124720	43472	A9D0	┬	
124721	43473	A9D1	┭	
124722	43474	A9D2	┮	
124723	43475	A9D3	┯	
124724	43476	A9D4	┰	
124725	43477	A9D5	┱	
124726	43478	A9D6	┲	
124727	43479	A9D7	┳	
124730	43480	A9D8	┴	
124731	43481	A9D9	┵	
124732	43482	A9DA	┶	
124733	43483	A9DB	┷	
124734	43484	A9DC	┸	
124735	43485	A9DD	┹	
124736	43486	A9DE	┺	
124737	43487	A9DF	┻	
124740	43488	A9E0	┼	
124741	43489	A9E1	┽	
124742	43490	A9E2	┾	
124743	43491	A9E3	┿	
124744	43492	A9E4	╀	
124745	43493	A9E5	╁	
124746	43494	A9E6	╂	
124747	43495	A9E7	╃	
124750	43496	A9E8	╄	
124751	43497	A9E9	╅	
124752	43498	A9EA	╆	
124753	43499	A9EB	╇	
124754	43500	A9EC	╈	
124755	43501	A9ED	╉	
124756	43502	A9EE	╊	
124757	43503	A9EF	╋	
130241	45217	B0A1	啊	
130242	45218	B0A2	阿	
130243	45219	B0A3	埃	
130244	45220	B0A4	挨	
130245	45221	B0A5	哎	
130246	45222	B0A6	唉	
130247	45223	B0A7	哀	
130250	45224	B0A8	皑	
130251	45225	B0A9	癌	
130252	45226	B0AA	蔼	
130253	45227	B0AB	矮	
130254	45228	B0AC	艾	
130255	45229	B0AD	碍	
130256	45230	B0AE	爱	
130257	45231	B0AF	隘	
130260	45232	B0B0	鞍	
130261	45233	B0B1	氨	
130262	45234	B0B2	安	
130263	45235	B0B3	俺	
130264	45236	B0B4	按	
130265	45237	B0B5	暗	
130266	45238	B0B6	岸	
130267	45239	B0B7	胺	
130270	45240	B0B8	案	
130271	45241	B0B9	肮	
130272	45242	B0BA	昂	
130273	45243	B0BB	盎	
130274	45244	B0BC	凹	
130275	45245	B0BD	敖	
130276	45246	B0BE	熬	
130277	45247	B0BF	翱	
130300	45248	B0C0	袄	
130301	45249	B0C1	傲	
130302	45250	B0C2	奥	
130303	45251	B0C3	懊	
130304	45252	B0C4	澳	
130305	45253	B0C5	芭	
130306	45254	B0C6	捌	
130307	45255	B0C7	扒	
130310	45256	B0C8	叭	
130311	45257	B0C9	吧	
130312	45258	B0CA	笆	
130313	45259	B0CB	八	
130314	45260	B0CC	疤	
130315	45261	B0CD	巴	
130316	45262	B0CE	拔	
130317	45263	B0CF	跋	
130320	45264	B0D0	靶	
130321	45265	B0D1	把	
130322	45266	B0D2	耙	
130323	45267	B0D3	坝	
130324	45268	B0D4	霸	
130325	45269	B0D5	罢	
130326	45270	B0D6	爸	
130327	45271	B0D7	白	
130330	45272	B0D8	柏	
130331	45273	B0D9	百	
130332	45274	B0DA	摆	
130333	45275	B0DB	佰	
130334	45276	B0DC	败	
130335	45277	B0DD	拜	
130336	45278	B0DE	稗	
130337	45279	B0DF	斑	
130340	45280	B0E0	班	
130341	45281	B0E1	搬	
130342	45282	B0E2	扳	
130343	45283	B0E3	般	
130344	45284	B0E4	颁	
130345	45285	B0E5	板	
130346	45286	B0E6	版	
130347	45287	B0E7	扮	
130350	45288	B0E8	拌	
130351	45289	B0E9	伴	
130352	45290	B0EA	瓣	
130353	45291	B0EB	半	
130354	45292	B0EC	办	
130355	45293	B0ED	绊	
130356	45294	B0EE	邦	
130357	45295	B0EF	帮	
130360	45296	B0F0	梆	
130361	45297	B0F1	榜	
130362	45298	B0F2	膀	
130363	45299	B0F3	绑	
130364	45300	B0F4	棒	
130365	45301	B0F5	磅	
130366	45302	B0F6	蚌	
130367	45303	B0F7	镑	
130370	45304	B0F8	傍	
130371	45305	B0F9	谤	
130372	45306	B0FA	苞	
130373	45307	B0FB	胞	
130374	45308	B0FC	包	
130375	45309	B0FD	褒	
